close,open,high,low,volume,negative,neutral,positive,compound
1009.89,969.01,1010,948.5201,8732336,0.118,0.882,0.0,-0.34
1365.8054,1405,1417.26,1311.34,15747236,0.0,1.0,0.0,0.0
753.65,772.28,774.95,747.66,24322747,0.281,0.719,0.0,-0.7783
819.25,793.77,824,787.01,31166079,0.0,0.934,0.066,0.296
1208.8,1221.48,1228,1185.6,15501212,0.0,0.928,0.072,0.1779
1546.875,1543,1550,1457,15414147,0.0,0.887,0.113,0.5106
1001.66,998.88,1012,994.0101,6015204,0.313,0.687,0.0,-0.743
1119.54,1083,1135.33,1080.5,12887738,0.0,1.0,0.0,0.0
960.85,994.11,1000.8846,953.1414,10724665,0.0,1.0,0.0,0.0
1208.8,1221.48,1228,1185.6,15501212,0.0,0.784,0.216,0.4648
897.875,858,899,854.1,13962296,0.0,1.0,0.0,0.0
1389.69,1405.01,1429.5,1336.71,20456393,0.078,0.822,0.1,0.128
1119.54,1083,1135.33,1080.5,12887738,0.0,1.0,0.0,0.0
798.92,737.61,799.49,735,58450139,0.31,0.69,0.0,-0.7432
834.1905,808.75,835,804.21,10523947,0.0,1.0,0.0,0.0
1546.875,1543,1550,1457,15414147,0.0,1.0,0.0,0.0
1079,1006.5,1087.69,1003.73,16212153,0.0,1.0,0.0,0.0
1004.02,1003,1019.2,994.4708,18626163,0.0,1.0,0.0,0.0
897.875,858,899,854.1,13962296,0.0,1.0,0.0,0.0
1000.57,1012.78,1015.9699,991.34,7941809,0.0,0.854,0.146,0.4404
897.875,858,899,854.1,13962296,0.129,0.645,0.226,0.6486
990.56,987.71,1005,982.571,9026154,0.0,1.0,0.0,0.0
885.335,877.84,886.52,866.2,7366347,0.0,1.0,0.0,0.0
948.45,919,950,909.16,26318875,0.0,1.0,0.0,0.0
650.9899,591,652,580.53,21175579,0.041,0.755,0.204,0.8591
960.76,994.78,995,954.87,7736337,0.0,1.0,0.0,0.0
1389.69,1405.01,1429.5,1336.71,20456393,0.0,1.0,0.0,0.0
1004.02,1003,1019.2,994.4708,18626163,0.0,0.854,0.146,0.4404
897.875,858,899,854.1,13962296,0.0,0.884,0.116,0.4404
753.65,772.28,774.95,747.66,24322747,0.0,1.0,0.0,0.0
